position,artist,name
4630,Dizzy Gillespie,Manteca
3806,DJ BoBo,Chihuahua
833,DJ Jazzy Jeff & The Fresh Prince,Boom! Shake the Room
3012,DJ Jurgen & Alice DeeJay,Better Off Alone
3487,DJ Otzi,"Hey Baby (Uuh, Aah)"
1850,DJ Sammy & Yanou,Heaven
752,DNA & Suzanne Vega,Tom's Diner
3087,Dobie Gray,Drift Away
4592,Doctor & The Medics,Spirit in the Sky
734,Dolly Parton,9 to 5
259,Domenico Modugno,Volare
2727,Don Azpiazu & his Havana Casino Orchestra,The Peanut Vendor
850,Don Cornell,Hold My Hand
4041,Don Costa,Never On Sunday
904,Don Henley,The Boys of Summer
141,Don McLean,American Pie
731,Donna Lewis,I Love You Always Forever
246,Donna Summer,Hot Stuff
945,Donny Osmond,Puppy Love
2079,Donny Osmond & Marie Osmond,I'm Leaving it (All) Up to You
1297,Donovan,Atlantis
4086,Dooley Wilson,As Time Goes By
4420,Doop,Doop
81,Doris Day,Que sera sera (Whatever will be will be)
2256,Doris Day & Buddy Clark,Love Somebody
3511,Dorothy Moore,Misty Blue
3423,Double,The Captain of Her Heart
4202,Double You,Please Don't Go
2065,Dr Alban,It's My Life
3793,Dr Dre & Snoop Dogg,Nuthin' But a 'G' Thang
961,Dr Hook,Sylvia's Mother
3179,Drake & Rihanna,Take Care
4245,Dramatics,In The Rain
2852,Dreamweavers,It's Almost Tomorrow
3195,Dru Hill,How Deep is Your Love?
2929,Duane Eddy,Because They're Young
4171,Duck Sauce,Barbra Streisand
520,Duffy,Mercy
2073,Duke Ellington,Black & Tan Fantasy
638,Duran Duran,A View to a Kill
2383,Dusty Springfield,Son of a Preacher Man
1112,Dusty Springfield & The Pet Shop Boys,What Have I Done to Deserve This
1551,Eagle-Eye Cherry,Save Tonight
93,Eagles,Hotel California
245,Eamon,F**k it (I Don't Want You Back)
1254,"Earth, Wind & Fire",Let's Groove
1989,East 17,Stay Another Day
3188,Ed Sheeran,The 'A' Team
1647,Eddie Calvert,Oh My Papa (O Mein Papa)
1495,Eddie Cantor,Makin' Whoopee
1836,Eddie Cochran,Summertime Blues
736,Eddie Fisher,I'm Walking Behind You
2876,Eddie Hodges,I'm Gonna Knock On Your Door
2335,Eddie Holman,(Hey There) Lonely Girl
3517,Eddie Murphy,Party All The Time
3544,Eddy Duchin,Lovely to Look At
1005,Eddy Grant,Electric Avenue
1907,Eddy Howard,To Each His Own
3230,Edelweiss,Bring Me Edelweiss
2360,Edgar Winter Group,Frankenstein
4931,Edie Brickell & The New Bohemians,What I Am
1385,Edison Lighthouse,Love Grows (Where My Rosemary Goes)
1582,Edith Piaf,La Vie En Rose
3842,Edward Bear,The Last Song
980,Edward Maya & Vika Jigulina,Stereo love
613,Edwin Hawkins Singers,Oh Happy Day
1257,Edwin Starr,War
2910,Edwyn Collins,A Girl Like You
146,Eiffel 65,Blue (Da Ba Dee)
2829,Eileen Barton,If I Knew You Were Comin' I'd Have Baked a Cake
4742,El DeBarge,Who's Johnny
1689,Electric Light Orchestra,Livin' Thing
3067,Elegants,Little Star
1506,Ella Fitzgerald,A-Tisket A-Tasket
1733,Ella Fitzgerald & The Ink Spots,Into Each Life Some Rain Must Fall
2958,Ellie Goulding,Lights
3331,Elmore James,Dust My Broom
10,Elton John,Candle in the Wind '97
130,Elton John & Kiki Dee,Don't Go Breaking My Heart
3844,Elvin Bishop,Fooled Around & Fell in Love
39,Elvis Presley,Are You Lonesome Tonight?
258,Elvis Presley & JXL,A Little Less Conversation
905,EMF,Unbelievable
1735,Emile Ford & The Checkmates,What Do You Want to Make Those Eyes At Me For?
679,Emilia,Big Big World
13,Eminem,Lose Yourself
175,Eminem & Rihanna,Love The Way You Lie
4104,"Eminem, Dr Dre & 50 Cent",Crack A Bottle
1202,En Vogue,Don't Let Go (Love)
851,Engelbert Humperdinck,The Last Waltz
394,Enigma,Sadeness
400,Enrique Iglesias,Hero
2596,Enrique Iglesias & Ludacris,Tonight (I'm F**kin' You)
1417,Enrique Iglesias & Pitbull,I Like It
819,Enya,Orinoco Flow
2223,Erasure,Always
2219,Eric Burdon & War,Spill the Wine
1813,Eric Carmen,All By Myself
229,Eric Clapton,Tears in Heaven
941,Eric Prydz,Call On Me
3300,Eric Weissburg & Steve Mandell,Duelling Banjos
3575,Ernie K-Doe,Mother-In-Law
3987,Eros Ramazzotti,Piu Bella Cosa
1483,Eruption,I Can't Stand the Rain
4973,Erykah Badu,On & On
3787,Essex,Easier Said Than Done
841,Estelle & Kanye West,American Boy
3933,Esther & Abi Ofarim,Cinderella Rockefella
4536,Esther Phillips,What a Difference a Day Makes
4372,Eternal,Stay
4466,Eternal & Bebe Winans,I Wanna Be the Only One
1534,Ethel Waters,Stormy Weather (Keeps Rainin' All the Time)
1994,Etta James,At Last
3828,Eumir Deodato,Also Sprach Zarathustra (2001)
581,Europe,The Final Countdown
231,Evanescence,Bring Me to Life
2814,Eve & Alicia Keys,Gangsta Lovin'
1228,Eve & Gwen Stefani,Let Me Blow Ya Mind
3463,Eve Young,One Silver Dollar
2537,Evelyn 'Champagne' King,Shame
779,Evelyn Knight,A Little Bird Told Me
4143,Evelyn Knight & The Stardusters,Powder Your Face With Sunshine
4306,Evelyn Thomas,High Energy
238,Everything But The Girl,Missing
4408,Exciters,Tell Him
